#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  60  24
# Band-Index:    1
   0.00000    -50.609859    -50.609859
   0.04601    -50.609870    -50.609870
   0.09201    -50.609903    -50.609903
   0.13802    -50.609948    -50.609948
   0.18403    -50.609996    -50.609996
   0.23003    -50.610051    -50.610051
   0.27604    -50.610117    -50.610117
   0.32204    -50.610198    -50.610198
   0.36805    -50.610286    -50.610286
   0.41406    -50.610371    -50.610371
   0.46006    -50.610464    -50.610464
   0.50607    -50.610568    -50.610568
   0.55208    -50.610634    -50.610634
   0.59808    -50.610703    -50.610703
   0.64409    -50.610783    -50.610783
   0.69010    -50.610835    -50.610835
   0.73610    -50.610872    -50.610872
   0.78211    -50.610906    -50.610906
   0.82811    -50.610933    -50.610933
   0.87412    -50.610938    -50.610938
   0.87412    -50.610938    -50.610938
   0.90068    -50.610937    -50.610937
   0.92724    -50.610941    -50.610941
   0.95381    -50.610935    -50.610935
   0.98037    -50.610916    -50.610916
   1.00693    -50.610913    -50.610913
   1.03349    -50.610903    -50.610903
   1.06005    -50.610887    -50.610887
   1.08661    -50.610869    -50.610869
   1.11318    -50.610855    -50.610855
   1.13974    -50.610837    -50.610837
   1.16630    -50.610812    -50.610812
   1.19286    -50.610790    -50.610790
   1.21942    -50.610781    -50.610781
   1.24599    -50.610757    -50.610757
   1.27255    -50.610732    -50.610732
   1.29911    -50.610707    -50.610707
   1.32567    -50.610682    -50.610682
   1.35223    -50.610656    -50.610656
   1.37879    -50.610653    -50.610653
   1.37879    -50.610653    -50.610653
   1.43192    -50.610683    -50.610683
   1.48504    -50.610723    -50.610723
   1.53817    -50.610750    -50.610750
   1.59129    -50.610745    -50.610745
   1.64441    -50.610763    -50.610763
   1.69754    -50.610734    -50.610734
   1.75066    -50.610686    -50.610686
   1.80378    -50.610627    -50.610627
   1.85691    -50.610555    -50.610555
   1.91003    -50.610474    -50.610474
   1.96315    -50.610378    -50.610378
   2.01628    -50.610286    -50.610286
   2.06940    -50.610195    -50.610195
   2.12252    -50.610120    -50.610120
   2.17565    -50.610039    -50.610039
   2.22877    -50.609970    -50.609970
   2.28190    -50.609930    -50.609930
   2.33502    -50.609885    -50.609885
   2.38814    -50.609859    -50.609859
 
# Band-Index:    2
   2.38814    -50.609837    -50.609837
   2.33502    -50.609849    -50.609849
   2.28190    -50.609868    -50.609868
   2.22877    -50.609886    -50.609886
   2.17565    -50.609907    -50.609907
   2.12252    -50.609923    -50.609923
   2.06940    -50.609950    -50.609950
   2.01628    -50.609982    -50.609982
   1.96315    -50.610028    -50.610028
   1.91003    -50.610073    -50.610073
   1.85691    -50.610121    -50.610121
   1.80378    -50.610170    -50.610170
   1.75066    -50.610214    -50.610214
   1.69754    -50.610277    -50.610277
   1.64441    -50.610332    -50.610332
   1.59129    -50.610384    -50.610384
   1.53817    -50.610450    -50.610450
   1.48504    -50.610514    -50.610514
   1.43192    -50.610575    -50.610575
   1.37879    -50.610631    -50.610631
   1.37879    -50.610631    -50.610631
   1.35223    -50.610614    -50.610614
   1.32567    -50.610570    -50.610570
   1.29911    -50.610534    -50.610534
   1.27255    -50.610504    -50.610504
   1.24599    -50.610468    -50.610468
   1.21942    -50.610434    -50.610434
   1.19286    -50.610397    -50.610397
   1.16630    -50.610365    -50.610365
   1.13974    -50.610339    -50.610339
   1.11318    -50.610307    -50.610307
   1.08661    -50.610282    -50.610282
